Sample description: primus/qt temporary file
Sample: primus/qt tempo  c= 0 mg/ml  Code: tmp
Parent(s): D:/ashish/arpit_syn/dat files/syn8.dat
 1.270890e+000  1.440770e+003  2.397680e+002
 1.277280e+000  1.730540e+003 -1.000000e+000
 1.283670e+000  1.654440e+003 -1.000000e+000
 1.290070e+000  1.319390e+003 -1.000000e+000
 1.296460e+000  1.333720e+003  4.226930e+002
 1.302850e+000  1.272550e+003  7.991550e+002
 1.309240e+000  1.390550e+003 -1.000000e+000
 1.315630e+000  1.222560e+003  3.416200e+002
 1.322020e+000  9.366490e+002 -1.000000e+000
 1.328420e+000  1.327710e+003  6.521650e+002
 1.334810e+000  1.570900e+003  8.352400e+002
 1.341200e+000  1.230430e+003 -1.000000e+000
 1.347590e+000  1.191380e+003  7.258910e+002
 1.353980e+000  1.404270e+003 -1.000000e+000
 1.360370e+000  1.338880e+003 -1.000000e+000
 1.366770e+000  1.395860e+003 -1.000000e+000
 1.373160e+000  1.275200e+003 -1.000000e+000
 1.379550e+000  1.133050e+003 -1.000000e+000
 1.385940e+000  1.192580e+003 -1.000000e+000
 1.392330e+000  9.825850e+002 -1.000000e+000
 1.398720e+000  9.274080e+002 -1.000000e+000
 1.405110e+000  1.402540e+003 -1.000000e+000
 1.411510e+000  1.268820e+003 -1.000000e+000
 1.417900e+000  1.297830e+003  4.905740e+002
 1.424290e+000  1.326450e+003 -1.000000e+000
 1.430680e+000  1.106030e+003  1.376580e+002
 1.437070e+000  1.118540e+003 -1.000000e+000
 1.443460e+000  9.859950e+002  4.524530e+002
 1.449860e+000  1.088430e+003 -1.000000e+000
 1.456250e+000  1.583010e+003  2.256750e+002
 1.462640e+000  1.415900e+003 -1.000000e+000
 1.469030e+000  1.021620e+003 -1.000000e+000
 1.475420e+000  8.060050e+002  4.420690e+002
 1.481810e+000  1.016960e+003 -1.000000e+000
 1.488200e+000  1.166960e+003  6.035500e+002
 1.494600e+000  1.056540e+003 -1.000000e+000
 1.500990e+000  7.220980e+002 -1.000000e+000
 1.507380e+000  7.868900e+002 -1.000000e+000
 1.513770e+000  1.409890e+003 -1.000000e+000
 1.520160e+000  1.171700e+003 -1.000000e+000
 1.526550e+000  1.267060e+003 -1.000000e+000
 1.532940e+000  1.189930e+003 -1.000000e+000
 1.539330e+000  8.591800e+002 -1.000000e+000
 1.545730e+000  1.435420e+003 -1.000000e+000
 1.552120e+000  1.474880e+003 -1.000000e+000
 1.558510e+000  8.071520e+002 -1.000000e+000
 1.564900e+000  1.381630e+003 -1.000000e+000
 1.571290e+000  1.145990e+003 -1.000000e+000
 1.577680e+000  1.050210e+003 -1.000000e+000
 1.584070e+000  1.178090e+003 -1.000000e+000
 1.590470e+000  1.016660e+003 -1.000000e+000
 1.596860e+000  1.322660e+003 -1.000000e+000
 1.603250e+000  6.766360e+002 -1.000000e+000
 1.609640e+000  6.393350e+002 -1.000000e+000
 1.616030e+000  8.553730e+002 -1.000000e+000
 1.622420e+000  5.560030e+002 -1.000000e+000
 1.628810e+000  8.245830e+002 -1.000000e+000
 1.635200e+000  6.360730e+002 -1.000000e+000
 1.641600e+000  8.562090e+002 -1.000000e+000
 1.647990e+000  1.131220e+003 -1.000000e+000
 1.654380e+000  9.485140e+002 -1.000000e+000
 1.660770e+000  6.904310e+002 -1.000000e+000
 1.667160e+000  7.524970e+002 -1.000000e+000
 1.673550e+000  7.634880e+002 -1.000000e+000
 1.679940e+000  7.727070e+002 -1.000000e+000
 1.686330e+000  5.778320e+002 -1.000000e+000
 1.692730e+000  1.101170e+003 -1.000000e+000
 1.699120e+000  9.632960e+002 -1.000000e+000
 1.705510e+000  5.714430e+002 -1.000000e+000
 1.711900e+000  7.422220e+002 -1.000000e+000
 1.718290e+000  8.522070e+002 -1.000000e+000
 1.724680e+000  9.117530e+002 -1.000000e+000
 1.731070e+000  1.384900e+003  1.784600e+002
 1.737460e+000  1.350290e+003 -1.000000e+000
 1.743850e+000  7.420280e+002 -1.000000e+000
 1.750250e+000  9.556020e+002 -1.000000e+000
 1.756640e+000  1.176550e+003 -1.000000e+000
 1.763030e+000  5.539860e+002  3.416890e+002
 1.769420e+000  7.729530e+002  6.438700e+002
 1.775810e+000  1.135980e+003 -1.000000e+000
 1.782200e+000  1.041880e+003 -1.000000e+000
 1.788590e+000  8.654890e+002 -1.000000e+000
 1.794980e+000  8.711980e+002 -1.000000e+000
 1.801370e+000  1.173400e+003 -1.000000e+000
 1.807760e+000  9.107220e+002 -1.000000e+000
 1.814150e+000  7.980420e+002 -1.000000e+000
 1.820550e+000  8.063470e+002 -1.000000e+000
 1.826940e+000  1.027920e+003 -1.000000e+000
 1.833330e+000  6.433260e+002 -1.000000e+000
 1.839720e+000  8.019930e+002 -1.000000e+000
 1.846110e+000  5.724850e+002 -1.000000e+000
 1.852500e+000  9.916860e+002 -1.000000e+000
 1.858890e+000  4.766400e+002 -1.000000e+000
 1.865280e+000  7.195990e+002 -1.000000e+000
 1.871670e+000  4.648190e+002 -1.000000e+000
 1.878060e+000  8.218880e+002 -1.000000e+000
 1.884450e+000  5.542950e+002 -1.000000e+000
 1.890840e+000  5.639760e+002 -1.000000e+000
 1.897240e+000  5.881120e+002 -1.000000e+000
 1.903630e+000  7.893110e+002 -1.000000e+000
 1.910020e+000  2.703390e+002 -1.000000e+000
 1.916410e+000  1.025340e+003 -1.000000e+000
 1.922800e+000  9.898470e+002 -1.000000e+000
 1.929190e+000  6.176070e+002 -1.000000e+000
 1.935580e+000  1.116420e+003 -1.000000e+000
 1.941970e+000  7.580890e+002 -1.000000e+000
 1.948360e+000  5.249050e+002 -1.000000e+000
 1.954750e+000  6.441070e+002 -1.000000e+000
 1.961140e+000  8.355280e+002  5.591220e+002
 1.967530e+000  8.439670e+002 -1.000000e+000
 1.973920e+000  3.673990e+002 -1.000000e+000
 1.980310e+000  5.638060e+002 -1.000000e+000
 1.986700e+000  5.175170e+002 -1.000000e+000
 1.993100e+000  5.677800e+002 -1.000000e+000
 1.999490e+000  2.250170e+002 -1.000000e+000
 2.005880e+000  6.804510e+002 -1.000000e+000
 2.012270e+000  8.747620e+002 -1.000000e+000
 2.018660e+000  6.792610e+002 -1.000000e+000
 2.025050e+000  4.056910e+002 -1.000000e+000
 2.031440e+000  4.606230e+002 -1.000000e+000
 2.037830e+000  5.245350e+002 -1.000000e+000
 2.044220e+000  8.466240e+002 -1.000000e+000
 2.050610e+000  6.745090e+002 -1.000000e+000
 2.057000e+000  5.033040e+002 -1.000000e+000
 2.063390e+000  3.620490e+002 -1.000000e+000
 2.069780e+000  5.559360e+002 -1.000000e+000
 2.076170e+000  3.915600e+002 -1.000000e+000
 2.082560e+000  5.196770e+002 -1.000000e+000
 2.088950e+000  6.092150e+002 -1.000000e+000
 2.095340e+000  7.247680e+002 -1.000000e+000
 2.101730e+000  3.210480e+002 -1.000000e+000
 2.108120e+000  3.632320e+002 -1.000000e+000
 2.114510e+000  5.979310e+002 -1.000000e+000
 2.120900e+000  4.212920e+002 -1.000000e+000
 2.127300e+000  3.337500e+002 -1.000000e+000
 2.133680e+000  8.888650e+002 -1.000000e+000
 2.140070e+000  6.505100e+002 -1.000000e+000
 2.146470e+000  5.644160e+002 -1.000000e+000
 2.152860e+000  6.473890e+002 -1.000000e+000
 2.159250e+000  5.273090e+002 -1.000000e+000
 2.165640e+000  5.447080e+002 -1.000000e+000
 2.172030e+000  2.371550e+002 -1.000000e+000
 2.178420e+000  5.616080e+002 -1.000000e+000
 2.184810e+000  4.834830e+002 -1.000000e+000
 2.191200e+000  7.179720e+002 -1.000000e+000
